file_name	seed	formula_x	formula_y
2021-01-04-23-32_seed_6087.png	6087	runif(1, -1, 10) * x_i^5 - sin(y_i^2) + sin(x_i^2)	runif(1, -1, 10) * y_i^4 - cos(x_i^2) * y_i^4 + y_i^5
2021-01-04-23-33_seed_4423.png	4423	runif(1, -1, 10) * x_i^5 - 2 * sin(y_i) + sin(x_i^2)	runif(1, -1, 10) * y_i^4 - cos(x_i) * y_i^4 + y_i^5
2021-01-04-23-33_seed_1585.png	1585	runif(1, -1, 10) * x_i^5 - 2 * sin(y_i) + sin(x_i^2)	runif(1, -1, 10) * y_i^4 - cos(x_i) * y_i^4 + y_i^5
2021-01-04-23-33_seed_7115.png	7115	runif(1, -1, 10) * x_i^5 - 2 * sin(y_i) + sin(x_i^2)	runif(1, -1, 10) * y_i^4 - cos(x_i) * y_i^4 + y_i^5
2021-01-04-23-33_seed_2857.png	2857	runif(1, -1, 10) * x_i^5 - 2 * sin(y_i) + sin(x_i^2)	runif(1, -1, 10) * y_i^4 - cos(x_i) * y_i^4 + y_i^5
2021-01-04-23-33_seed_320.png	320	runif(1, -1, 10) * x_i^5 - 2 * sin(y_i) + sin(x_i^2)	runif(1, -1, 10) * y_i^4 - cos(x_i) * y_i^4 + y_i^5
2021-01-04-23-34_seed_7696.png	7696	runif(1, -1, 10) * x_i^5 - sin(y_i^8) + sin(x_i^2)	runif(1, -1, 10) * y_i^4 - cos(x_i^8) * y_i^4 + y_i^5
2021-01-04-23-34_seed_4438.png	4438	runif(1, -1, 10) * x_i^5 - sin(y_i^8) + sin(x_i^2)	runif(1, -1, 10) * y_i^4 - cos(x_i^8) * y_i^4 + y_i^5
2021-01-04-23-34_seed_1906.png	1906	runif(1, -1, 10) * x_i^5 - sin(y_i^8) + sin(x_i^2)	runif(1, -1, 10) * y_i^4 - cos(x_i^8) * y_i^4 + y_i^5
2021-01-04-23-35_seed_4332.png	4332	runif(1, -1, 10) * x_i^5 - sin(y_i^8) + sin(x_i^2)	runif(1, -1, 10) * y_i^4 - cos(x_i^8) * y_i^4 + y_i^5
2021-01-04-23-35_seed_3081.png	3081	runif(1, -1, 10) * x_i^5 - sin(y_i^8) + sin(x_i^2)	runif(1, -1, 10) * y_i^4 - cos(x_i^8) * y_i^4 + y_i^5
2021-01-04-23-36_seed_1587.png	1587	runif(1, -1, 10) * x_i^2 - sin(y_i^3) + sin(x_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^3) * y_i^4
2021-01-04-23-36_seed_2497.png	2497	runif(1, -1, 10) * x_i^2 - sin(y_i^3) + sin(x_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^3) * y_i^4
2021-01-04-23-36_seed_8024.png	8024	runif(1, -1, 10) * x_i^2 - sin(y_i^3) + sin(x_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^3) * y_i^4
2021-01-04-23-36_seed_1786.png	1786	runif(1, -1, 10) * x_i^2 - sin(y_i^3) + sin(x_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^3) * y_i^4
2021-01-04-23-36_seed_6596.png	6596	runif(1, -1, 10) * x_i^2 - sin(y_i^3) + sin(x_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^3) * y_i^4
2021-01-04-23-38_seed_4222.png	4222	runif(1, -1, 10) * x_i^2 - sin(y_i^4) + sin(x_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^4) * y_i^4
2021-01-04-23-38_seed_6705.png	6705	runif(1, -1, 10) * x_i^2 - sin(y_i^4) + sin(x_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^4) * y_i^4
2021-01-04-23-38_seed_5843.png	5843	runif(1, -1, 10) * x_i^2 - sin(y_i^4) + sin(x_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^4) * y_i^4
2021-01-04-23-38_seed_3202.png	3202	runif(1, -1, 10) * x_i^2 - sin(y_i^4) + sin(x_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^4) * y_i^4
2021-01-04-23-39_seed_3576.png	3576	runif(1, -1, 10) * x_i^2 - sin(y_i^4) + sin(x_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^4) * y_i^4
2021-01-04-23-43_seed_8801.png	8801	runif(1, -1, 10) * y	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y
2021-01-04-23-43_seed_2160.png	2160	runif(1, -1, 10) * y_i	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i
2021-01-04-23-43_seed_7393.png	7393	runif(1, -1, 10) * y_i	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i
2021-01-04-23-43_seed_1378.png	1378	runif(1, -1, 10) * y_i	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i
2021-01-04-23-44_seed_7884.png	7884	runif(1, -1, 10) * y_i	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i
2021-01-04-23-44_seed_5134.png	5134	runif(1, -1, 10) * y_i	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i
2021-01-04-23-47_seed_7354.png	7354	runif(1, -1, 10) * y_i	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i
2021-01-04-23-47_seed_9338.png	9338	runif(1, -1, 10) * y_i	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i
2021-01-04-23-48_seed_9311.png	9311	runif(1, -1, 10) * y_i	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i
2021-01-04-23-48_seed_3538.png	3538	runif(1, -1, 10) * y_i	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i
2021-01-04-23-48_seed_3275.png	3275	runif(1, -1, 10) * y_i	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i
2021-01-04-23-50_seed_8272.png	8272	runif(1, -1, 10) * y_i	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^2
2021-01-04-23-50_seed_1124.png	1124	runif(1, -1, 10) * y_i	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^2
